questid2,filedate,age2,mr30est
43295143,10/09/2020,15,93
65095143,10/09/2020,17,91
49405143,10/09/2020,14,93
51015143,10/09/2020,9,91
31825143,10/09/2020,7,91
87035143,10/09/2020,16,99
65565143,10/09/2020,8,93
45375143,10/09/2020,17,91
15185143,10/09/2020,14,91
75996143,10/09/2020,15,91
89306143,10/09/2020,15,91
29116143,10/09/2020,15,91
27456143,10/09/2020,17,91
79876143,10/09/2020,13,99
81486143,10/09/2020,14,93
58786143,10/09/2020,5,91
49497143,10/09/2020,7,91
75607143,10/09/2020,16,91
49017143,10/09/2020,15,93
57027143,10/09/2020,14,93
76127143,10/09/2020,5,91
51908143,10/09/2020,12,91
19108143,10/09/2020,5,91
71528143,10/09/2020,15,91
23658143,10/09/2020,16,93
79868143,10/09/2020,16,91
47688143,10/09/2020,11,99
29299143,10/09/2020,14,93
67499143,10/09/2020,8,91
97209143,10/09/2020,15,93
51429143,10/09/2020,13,93
95839143,10/09/2020,13,91
81949143,10/09/2020,14,93
39769143,10/09/2020,14,93
37779143,10/09/2020,16,93
83500143,10/09/2020,13,91
32410143,10/09/2020,15,91
91320143,10/09/2020,17,91
21840143,10/09/2020,13,93
67860143,10/09/2020,13,93
15870143,10/09/2020,5,91
43691143,10/09/2020,11,91
10991143,10/09/2020,3,91
25201143,10/09/2020,15,91
77431143,10/09/2020,17,99
73541143,10/09/2020,14,91
19941143,10/09/2020,17,91
85151143,10/09/2020,6,91
75102143,10/09/2020,15,93
34012143,10/09/2020,10,91
15722143,10/09/2020,15,93
36432143,10/09/2020,6,91
80742143,10/09/2020,6,91
62593143,10/09/2020,8,91
38993143,10/09/2020,13,93
30503143,10/09/2020,1,91
89223143,10/09/2020,13,91
81543143,10/09/2020,15,93
87943143,10/09/2020,15,91
59173143,10/09/2020,16,93
68894143,10/09/2020,4,91
31734143,10/09/2020,15,93
89644143,10/09/2020,5,93
25415243,10/09/2020,15,93
86265243,10/09/2020,6,93
82665243,10/09/2020,9,91
49965243,10/09/2020,15,93
84275243,10/09/2020,9,93
53375243,10/09/2020,15,91
15506243,10/09/2020,14,99
79297243,10/09/2020,15,93
85697243,10/09/2020,17,91
12517243,10/09/2020,3,91
41427243,10/09/2020,14,91
39147243,10/09/2020,2,91
99577243,10/09/2020,15,91
93177243,10/09/2020,17,91
45598243,10/09/2020,16,91
56208243,10/09/2020,11,91
73508243,10/09/2020,7,99
27918243,10/09/2020,15,91
50428243,10/09/2020,5,91
45928243,10/09/2020,15,93
30948243,10/09/2020,8,91
83268243,10/09/2020,16,91
67868243,10/09/2020,15,99
71278243,10/09/2020,6,93
25688243,10/09/2020,17,93
53699243,10/09/2020,11,91
10999243,10/09/2020,11,93
25209243,10/09/2020,15,93
29809243,10/09/2020,6,93
27819243,10/09/2020,15,93
84119243,10/09/2020,3,91
71229243,10/09/2020,15,93
27629243,10/09/2020,15,91
95969243,10/09/2020,17,91
27190243,10/09/2020,14,91
65100243,10/09/2020,16,91
82210243,10/09/2020,1,91
63110243,10/09/2020,9,91
47520243,10/09/2020,9,99
63730243,10/09/2020,15,91
75240243,10/09/2020,15,91
96140243,10/09/2020,4,91
33250243,10/09/2020,15,91
79650243,10/09/2020,15,93
59460243,10/09/2020,13,91
57660243,10/09/2020,13,99
11691243,10/09/2020,3,91
33341243,10/09/2020,15,93
